wavelength,micro,micro_se,nano,nano_se,pico,pico_se
608,0.0042,0.0004,0.0083,0.0006,0.0091,0.0005
610,0.0044,0.0004,0.0084,0.0006,0.0092,0.0005
612,0.0045,0.0004,0.0085,0.0006,0.0094,0.0005
614,0.0047,0.0004,0.0085,0.0006,0.0097,0.0005
616,0.0049,0.0004,0.0086,0.0006,0.0099,0.0005
618,0.0050,0.0004,0.0089,0.0006,0.0101,0.0005
620,0.0051,0.0004,0.0090,0.0006,0.0102,0.0005
622,0.0052,0.0004,0.0093,0.0006,0.0104,0.0005
624,0.0053,0.0004,0.0095,0.0006,0.0104,0.0005
626,0.0054,0.0004,0.0097,0.0006,0.0105,0.0005
628,0.0055,0.0004,0.0100,0.0006,0.0105,0.0005
630,0.0056,0.0004,0.0104,0.0006,0.0105,0.0005
632,0.0059,0.0004,0.0105,0.0006,0.0105,0.0005
634,0.0061,0.0005,0.0106,0.0007,0.0105,0.0005
636,0.0063,0.0005,0.0109,0.0007,0.0105,0.0005
638,0.0064,0.0005,0.0111,0.0007,0.0104,0.0005
640,0.0065,0.0005,0.0112,0.0007,0.0102,0.0005
642,0.0066,0.0005,0.0112,0.0007,0.0103,0.0005
644,0.0066,0.0005,0.0113,0.0007,0.0103,0.0005
646,0.0067,0.0005,0.0115,0.0007,0.0101,0.0005
648,0.0067,0.0005,0.0114,0.0007,0.0104,0.0005
650,0.0068,0.0006,0.0115,0.0007,0.0106,0.0005
652,0.0069,0.0006,0.0116,0.0008,0.0108,0.0005
654,0.0072,0.0006,0.0120,0.0008,0.0113,0.0005
656,0.0078,0.0006,0.0129,0.0008,0.0118,0.0005
658,0.0085,0.0006,0.0143,0.0009,0.0125,0.0005
660,0.0096,0.0006,0.0159,0.0009,0.0139,0.0006
662,0.0109,0.0007,0.0184,0.0009,0.0153,0.0006
664,0.0124,0.0007,0.0209,0.0010,0.0174,0.0007
666,0.0139,0.0007,0.0239,0.0010,0.0198,0.0007
668,0.0153,0.0008,0.0264,0.0011,0.0227,0.0008
670,0.0164,0.0008,0.0285,0.0011,0.0254,0.0008
672,0.0172,0.0008,0.0298,0.0012,0.0278,0.0009
674,0.0174,0.0009,0.0304,0.0012,0.0294,0.0009
676,0.0172,0.0009,0.0300,0.0012,0.0302,0.0009
678,0.0166,0.0008,0.0284,0.0012,0.0301,0.0009
680,0.0155,0.0008,0.0257,0.0012,0.0293,0.0009
682,0.0141,0.0008,0.0222,0.0011,0.0276,0.0009
684,0.0124,0.0007,0.0181,0.0010,0.0253,0.0008
686,0.0106,0.0007,0.0140,0.0009,0.0222,0.0008
688,0.0086,0.0006,0.0105,0.0008,0.0189,0.0007
690,0.0069,0.0005,0.0074,0.0007,0.0155,0.0006
692,0.0053,0.0004,0.0053,0.0006,0.0122,0.0005
694,0.0040,0.0003,0.0036,0.0005,0.0097,0.0004
696,0.0030,0.0003,0.0028,0.0004,0.0074,0.0004
698,0.0023,0.0002,0.0019,0.0003,0.006,0.0003
700,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003
702,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
704,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
706,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
708,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
710,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
712,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
714,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
716,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
718,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
720,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
722,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
724,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
726,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
728,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
730,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
732,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
734,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
736,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
738,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
740,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
742,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
744,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
746,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
748,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
750,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
752,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
754,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
756,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
758,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
760,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
762,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
764,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
766,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
768,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
770,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
772,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
774,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
776,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
778,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
780,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
782,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
784,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
786,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
788,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
790,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
792,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
794,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
796,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
798,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
800,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
802,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
804,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
806,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
808,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
810,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
812,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
814,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
816,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
818,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
820,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
822,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
824,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
826,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
828,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
830,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
832,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
834,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
836,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
838,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
840,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
842,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
844,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
846,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
848,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
850,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
852,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
854,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
856,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
858,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
860,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
862,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
864,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
866,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
868,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
870,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
872,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
874,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
876,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
878,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
880,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
882,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
884,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
886,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
888,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
890,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
892,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
894,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
896,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
898,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
900,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
902,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
904,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
906,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
908,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
910,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
912,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
914,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
916,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
918,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
920,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
922,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
924,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
926,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
928,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
930,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
932,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
934,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
936,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
938,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
940,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
942,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
944,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
946,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
948,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
950,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
952,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
954,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
956,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
958,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
960,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
962,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
964,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
966,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
968,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
970,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
972,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
974,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
976,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
978,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
980,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
982,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
984,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
986,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
988,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
990,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
992,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
994,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
996,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
998,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1000,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1002,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1004,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1006,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1008,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1010,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1012,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1014,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1016,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1018,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
1020,0.0017,0.0002,0.0015,0.0003,0.0047,0.0003 
